Unnamed: 0,Cups                                     ,Fecha de la lectura,Hora de la lectura,Consumo (kwh),Hora inicio,Minutos inicio,Dia de la semana,Mes,Año,Periodo
0,ES0022000005731860JV1P,2018-01-01,0:15,7,0,0,Monday,1,2018,P6
1,ES0022000005731860JV1P,2018-01-01,0:30,7,0,15,Monday,1,2018,P6
2,ES0022000005731860JV1P,2018-01-01,0:45,7,0,30,Monday,1,2018,P6
3,ES0022000005731860JV1P,2018-01-01,1:00,7,0,45,Monday,1,2018,P6
4,ES0022000005731860JV1P,2018-01-01,1:15,7,1,0,Monday,1,2018,P6
5,ES0022000005731860JV1P,2018-01-01,1:30,8,1,15,Monday,1,2018,P6
6,ES0022000005731860JV1P,2018-01-01,1:45,7,1,30,Monday,1,2018,P6
7,ES0022000005731860JV1P,2018-01-01,2:00,7,1,45,Monday,1,2018,P6
8,ES0022000005731860JV1P,2018-01-01,2:15,7,2,0,Monday,1,2018,P6
9,ES0022000005731860JV1P,2018-01-01,2:30,7,2,15,Monday,1,2018,P6
10,ES0022000005731860JV1P,2018-01-01,2:45,7,2,30,Monday,1,2018,P6
11,ES0022000005731860JV1P,2018-01-01,3:00,7,2,45,Monday,1,2018,P6
12,ES0022000005731860JV1P,2018-01-01,3:15,7,3,0,Monday,1,2018,P6
13,ES0022000005731860JV1P,2018-01-01,3:30,7,3,15,Monday,1,2018,P6
14,ES0022000005731860JV1P,2018-01-01,3:45,7,3,30,Monday,1,2018,P6
15,ES0022000005731860JV1P,2018-01-01,4:00,7,3,45,Monday,1,2018,P6
16,ES0022000005731860JV1P,2018-01-01,4:15,7,4,0,Monday,1,2018,P6
17,ES0022000005731860JV1P,2018-01-01,4:30,7,4,15,Monday,1,2018,P6
18,ES0022000005731860JV1P,2018-01-01,4:45,7,4,30,Monday,1,2018,P6
19,ES0022000005731860JV1P,2018-01-01,5:00,7,4,45,Monday,1,2018,P6
20,ES0022000005731860JV1P,2018-01-01,5:15,8,5,0,Monday,1,2018,P6
21,ES0022000005731860JV1P,2018-01-01,5:30,8,5,15,Monday,1,2018,P6
22,ES0022000005731860JV1P,2018-01-01,5:45,8,5,30,Monday,1,2018,P6
23,ES0022000005731860JV1P,2018-01-01,6:00,8,5,45,Monday,1,2018,P6
24,ES0022000005731860JV1P,2018-01-01,6:15,7,6,0,Monday,1,2018,P6
25,ES0022000005731860JV1P,2018-01-01,6:30,8,6,15,Monday,1,2018,P6
26,ES0022000005731860JV1P,2018-01-01,6:45,8,6,30,Monday,1,2018,P6
27,ES0022000005731860JV1P,2018-01-01,7:00,7,6,45,Monday,1,2018,P6
28,ES0022000005731860JV1P,2018-01-01,7:15,8,7,0,Monday,1,2018,P6
29,ES0022000005731860JV1P,2018-01-01,7:30,9,7,15,Monday,1,2018,P6
30,ES0022000005731860JV1P,2018-01-01,7:45,28,7,30,Monday,1,2018,P6
31,ES0022000005731860JV1P,2018-01-01,8:00,32,7,45,Monday,1,2018,P6
32,ES0022000005731860JV1P,2018-01-01,8:15,29,8,0,Monday,1,2018,P2
33,ES0022000005731860JV1P,2018-01-01,8:30,27,8,15,Monday,1,2018,P2
34,ES0022000005731860JV1P,2018-01-01,8:45,29,8,30,Monday,1,2018,P2
35,ES0022000005731860JV1P,2018-01-01,9:00,26,8,45,Monday,1,2018,P2
36,ES0022000005731860JV1P,2018-01-01,9:15,28,9,0,Monday,1,2018,P1
37,ES0022000005731860JV1P,2018-01-01,9:30,28,9,15,Monday,1,2018,P1
38,ES0022000005731860JV1P,2018-01-01,9:45,27,9,30,Monday,1,2018,P1
39,ES0022000005731860JV1P,2018-01-01,10:00,27,9,45,Monday,1,2018,P1
40,ES0022000005731860JV1P,2018-01-01,10:15,26,10,0,Monday,1,2018,P1
41,ES0022000005731860JV1P,2018-01-01,10:30,28,10,15,Monday,1,2018,P1
42,ES0022000005731860JV1P,2018-01-01,10:45,28,10,30,Monday,1,2018,P1
43,ES0022000005731860JV1P,2018-01-01,11:00,26,10,45,Monday,1,2018,P1
44,ES0022000005731860JV1P,2018-01-01,11:15,26,11,0,Monday,1,2018,P1
45,ES0022000005731860JV1P,2018-01-01,11:30,25,11,15,Monday,1,2018,P1
46,ES0022000005731860JV1P,2018-01-01,11:45,26,11,30,Monday,1,2018,P1
47,ES0022000005731860JV1P,2018-01-01,12:00,25,11,45,Monday,1,2018,P1
48,ES0022000005731860JV1P,2018-01-01,12:15,25,12,0,Monday,1,2018,P1
49,ES0022000005731860JV1P,2018-01-01,12:30,25,12,15,Monday,1,2018,P1
50,ES0022000005731860JV1P,2018-01-01,12:45,23,12,30,Monday,1,2018,P1
51,ES0022000005731860JV1P,2018-01-01,13:00,24,12,45,Monday,1,2018,P1
52,ES0022000005731860JV1P,2018-01-01,13:15,24,13,0,Monday,1,2018,P1
