CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES000000000000000000;01/01/2021;1;0,143;R
ES000000000000000000;01/01/2021;2;0,168;R
ES000000000000000000;01/01/2021;3;0,138;R
ES000000000000000000;01/01/2021;4;0,076;R
ES000000000000000000;01/01/2021;5;0,995;R
ES000000000000000000;01/01/2021;6;0,069;R
ES000000000000000000;01/01/2021;7;0,067;R
ES000000000000000000;01/01/2021;8;0,065;R
ES000000000000000000;01/01/2021;9;0,062;R
ES000000000000000000;01/01/2021;10;0,065;R
ES000000000000000000;01/01/2021;11;0,058;R
ES000000000000000000;01/01/2021;12;0,131;R
ES000000000000000000;01/01/2021;13;0,156;R
ES000000000000000000;01/01/2021;14;0,164;R
ES000000000000000000;01/01/2021;15;0,148;R
ES000000000000000000;01/01/2021;16;0,328;R
ES000000000000000000;01/01/2021;17;0,227;R
ES000000000000000000;01/01/2021;18;0,166;R
ES000000000000000000;01/01/2021;19;0,179;R
ES000000000000000000;01/01/2021;20;0,182;R
ES000000000000000000;01/01/2021;21;0,216;R
ES000000000000000000;01/01/2021;22;0,186;R
ES000000000000000000;01/01/2021;23;0,079;R
ES000000000000000000;01/01/2021;24;0,101;R
