Cups                                     ;Fecha de la lectura;Hora de la lectura;Consumo (kwh);;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;0:15;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;0:30;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;0:45;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;1:00;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;1:15;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;1:30;8;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;1:45;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;2:00;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;2:15;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;2:30;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;2:45;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;3:00;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;3:15;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;3:30;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;3:45;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;4:00;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;4:15;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;4:30;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;4:45;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;5:00;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;5:15;8;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;5:30;8;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;5:45;8;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;6:00;8;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;6:15;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;6:30;8;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;6:45;8;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;7:00;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;7:15;8;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;7:30;9;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;7:45;28;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;8:00;32;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;8:15;29;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;8:30;27;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;8:45;29;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;9:00;26;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;9:15;28;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;9:30;28;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;9:45;27;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;10:00;27;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;10:15;26;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;10:30;28;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;10:45;28;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;11:00;26;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;11:15;26;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;11:30;25;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;11:45;26;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;12:00;25;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;12:15;25;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;12:30;25;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;12:45;23;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;13:00;24;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;13:15;24;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;13:30;23;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;13:45;24;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;14:00;23;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;14:15;23;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;14:30;24;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;14:45;23;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;15:00;25;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;15:15;25;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;15:30;22;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;15:45;23;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;16:00;22;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;16:15;21;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;16:30;21;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;16:45;22;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;17:00;21;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;17:15;21;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;17:30;22;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;17:45;21;;;;;;;;;;;
